epoch,train_loss,val_loss
1,0.6926,0.6921
2,0.6916,0.6909
3,0.6895,0.6879
4,0.6847,0.6811
5,0.6717,0.6578
6,0.6263,0.5883
7,0.5489,0.5388
8,0.516,0.4989
9,0.4968,0.4875
10,0.4801,0.4766
11,0.4625,0.4509
12,0.4473,0.4393
13,0.4354,0.4317
14,0.4245,0.426
15,0.4151,0.4161
16,0.4064,0.4397
17,0.3983,0.4558
18,0.3898,0.3993
19,0.3826,0.3882
20,0.3749,0.3816
21,0.3669,0.3788
22,0.3589,0.3772
23,0.5583,0.4391
24,0.5244,0.4197
25,0.5135,0.4165
26,0.4999,0.3977
27,0.49,0.394
28,0.4798,0.3944
29,0.4749,0.3911
30,0.4662,0.3806
31,0.4587,0.3739
32,0.4542,0.3706
33,0.4469,0.3697
34,0.4405,0.3615
35,0.4334,0.3628
36,0.4308,0.3563
37,0.4213,0.3574
38,0.4159,0.3492
39,0.4099,0.3456
40,0.4014,0.3432
41,0.3969,0.3401
42,0.3934,0.3379
43,0.3809,0.355
44,0.3747,0.3309
45,0.3694,0.33
46,0.3581,0.3248
47,0.352,0.3256
48,0.3428,0.3374
49,0.335,0.3146
50,0.3263,0.3281
51,0.3166,0.3231
52,0.3095,0.3205
53,0.2969,0.3079
54,0.2873,0.3496
55,0.2737,0.3342
56,0.2713,0.3231
57,0.2557,0.3484
58,0.2453,0.3194
59,0.2363,0.3337
60,0.2286,0.3568
61,0.2193,0.3325
62,0.2049,0.3786
63,0.198,0.383
64,0.195,0.3929
65,0.1871,0.3821
66,0.1793,0.3912
67,0.1698,0.4068
68,0.1652,0.3909
69,0.1577,0.488
70,0.1491,0.422
71,0.1467,0.4398
72,0.1427,0.4804
73,0.1328,0.5159
74,0.1287,0.5107
75,0.128,0.495
76,0.1194,0.4669
77,0.1168,0.4602
78,0.1095,0.4915
